query,source,rank,label,no_result,temporal_query,wrong_era,top1_title,top1_source_type,top1_quality_flag,top1_citation,top1_excerpt,answer_status,memory_route_requested,memory_route_applied,memory_prefilter_reason,matched_memory_ids,matched_document_ids,memory_relations_used,temporal_signals,notes
최신 RAG benchmark 변경점은 무엇인가?,paper,1,,1,1,,,,,,,no_result,prefilter,false,no_memory_hits,,,,{},
최근에 업데이트된 memory-first retrieval 설계 차이를 정리해줘,paper,1,,1,1,,,,,,,no_result,prefilter,false,no_memory_hits,,,,{},
latest multi-agent planning evaluation 기준이 어떻게 바뀌었나?,paper,1,,1,1,,,,,,,no_result,prefilter,false,no_memory_hits,,,,{},
최근 long-context retrieval failure 패턴 요약,paper,1,,1,1,,,,,,,no_result,prefilter,false,no_memory_hits,,,,{},
가장 최근 vector database retrieval quality 개선 포인트는?,paper,1,,1,1,,,,,,,no_result,prefilter,false,no_memory_hits,,,,{},
before/after 기준으로 policy engine audit log 설계가 어떻게 달라졌나?,vault,1,,0,1,,Archives,vault,unscored,S1,"<!-- AUTO_LINK_START -->
**관련 노트:** [[2026-02-06]], [[Archives/Tags/국회 조직도]], [[Archives/국제정치 2/국제정치]], [[Archives/국제정치/국제정치]], [[Areas/Areas]]
<!-- AUTO_LINK_END -->

<...",ok,prefilter,true,memory_prefilter_chunk_fallback,memory-unit:Archives/Archives.md:ca0bb4ed170c | memory-unit:Archives/Tags/국회 조직도.md:88740885e842 | memory-unit:Archives/Tags/.md:557d316c2140,Archives/Archives.md | Archives/Tags/국회 조직도.md | Archives/Tags/.md,,"{'enabled': False, 'mode': 'none', 'targetYear': ''}",
최근 업데이트된 paper-memory retrieval 방식 설명,paper,1,,1,1,,,,,,,no_result,prefilter,false,no_memory_hits,,,,{},
최근 web source 중 reference source와 continuous latest source 차이는?,web,1,,1,1,,,,,,,no_result,prefilter,false,no_memory_hits,,,,"{'enabled': True, 'mode': 'latest', 'targetYear': ''}",
Paper Memory Prefilter V1 이후 ask 경로는 어떻게 바뀌었나?,paper,1,,1,1,,,,,,,no_result,prefilter,false,no_memory_hits,,,,{},
memory_route_mode 추가 이후 paper_memory_mode와의 관계는?,paper,1,,1,1,,,,,,,no_result,prefilter,false,no_memory_hits,,,,{},
